,r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
☄,26.92,504033006,18.739701,-50.420251,91,59,011457.52-502512.9,57962.7825,0,2,2,1,1,0.475,,,,,,,,,20.8048,0.0517,20.4342,0.1227,20.3683,0.0175,20.3769,0.1405,,,,,,,,,15,
☄,34.69,504033000,18.743447,-50.425352,58,44,011458.42-502531.2,57903.4951,0,0,7,2,1,0.611,,,,,,,,,19.9364,0.0498,19.4516,0.0664,19.4769,0.0591,19.0041,0.0609,19.0903,0.0711,18.4508,0.1851,,,,,15,
☄,38.48,504034125,18.758098,-50.407307,34,35,011501.94-502426.3,57966.7432,0,0,8,1,1,0.707,,,,,,,,,20.4497,0.0282,20.1871,0.1604,19.6503,0.1352,19.1174,0.1113,19.262,0.0601,18.8963,0.1771,19.0364,0.0838,18.9438,0.213,10.5,504034126
☄,47.93,504034126,18.761955,-50.405748,67,32,011502.86-502420.6,57919.197,0,0,9,2,1,0.894,,,,,,,,,19.5647,0.0257,19.2271,0.0879,18.8228,0.0354,18.3974,0.0613,18.3278,0.0475,17.9307,0.0841,18.0109,0.0288,17.7586,0.0588,10.5,504034125
☄,48.54,504034124,18.77098,-50.414919,43,23,011505.03-502453.7,57850.2198,0,5,11,1,1,0.984,,,,,19.1429,0.0189,19.3883,0.1891,17.1555,0.0061,17.1563,0.0105,16.6402,0.0105,16.6344,0.0131,16.2853,0.0061,16.3122,0.0131,16.1652,0.0077,16.176,0.0146,15,
☄,51.55,504034154,18.758699,-50.403465,50,34,011502.08-502412.4,57966.3662,0,4,5,1,1,0.74,,,,,,,,,19.9936,0.038,19.7875,0.0598,19.7743,0.0171,19.5349,0.0635,19.492,0.035,19.4087,0.1713,,,,,11.1,504034126
☄,60.08,504034153,18.745291,-50.400249,36,36,011458.86-502400.8,57974.6491,3,0,1,1,1,0.384,,,,,,,,,,,,,,,,,19.1362,0.0913,18.5676,0.1218,,,,,3.7,504034155
☄,63.11,504034155,18.745954,-50.399326,40,139,011459.02-502357.5,57919.197,2,9,9,2,1,0.185,,,,,,,,,19.4545,0.1059,18.0849,0.0741,19.0411,0.1245,17.7884,0.035,18.7387,0.1565,17.3204,0.1297,18.427,0.1411,17.5554,0.0798,3.7,504034153
☄,71.1,504033005,18.724027,-50.427449,53,25,011453.76-502538.8,57903.4951,0,3,7,2,1,0.904,,,,,,,,,19.7487,0.0082,19.6895,0.0532,19.6011,0.0187,19.6126,0.0834,19.4856,0.0162,19.6473,0.182,,,,,15,
☄,77,504034121,18.779787,-50.426533,80,148,011507.14-502535.5,57964.3717,0,3,5,2,1,0.562,,,,,,,,,20.5295,0.0227,20.202,0.2069,20.0595,0.0442,19.5951,0.0813,,,,,,,,,15,
☄,85.51,504032999,18.721671,-50.432108,26,30,011453.20-502555.5,57893.614,0,0,6,2,1,0.739,,,,,,,,,19.7691,0.01,19.7597,0.0854,19.5346,0.0215,19.507,0.0635,19.2075,0.0243,19.1891,0.1422,,,,,15,
☄,90.99,504034122,18.789442,-50.419352,21,43,011509.46-502509.6,57966.738,0,0,3,1,1,0.644,,,,,,,,,20.5255,0.0332,20.4648,0.1472,19.9912,0.0209,19.6465,0.1191,19.5753,0.0305,19.5668,0.1826,,,,,7.9,504034123
☄,93.1,504034123,18.790576,-50.417271,28,27,011509.73-502502.1,57838.9631,0,0,10,1,1,0.931,,,,,,,,,19.2371,0.0333,18.8455,0.0282,18.6346,0.0474,18.2029,0.049,18.146,0.0389,17.7392,0.0324,17.8765,0.0413,17.6531,0.0484,7.9,504034122
☄,98.94,504034158,18.740669,-50.389836,34,24,011457.76-502323.4,57874.2059,0,12,14,2,1,0.986,18.6197,0.0776,18.8159,0.1973,18.061,0.0101,17.9192,0.0896,16.3258,0.0074,16.334,0.0078,15.8736,0.0074,15.8816,0.0078,15.5721,0.0075,15.5845,0.0137,15.4688,0.0083,15.4884,0.0108,15,
☄,103.15,504034127,18.793677,-50.40986,50,158,011510.48-502435.4,57966.5072,0,0,4,2,1,0.516,,,,,,,,,,,,,20.1011,0.0297,19.8743,0.0924,19.5271,0.015,19.5889,0.1,,,,,15,
☄,103.17,504034156,18.758941,-50.38858,85,134,011502.14-502318.8,57825.7521,0,0,3,3,1,0.484,,,,,,,,,,,,,,,,,19.6447,0.0292,19.6559,0.0779,,,,,15,
☄,111.8,504033004,18.701384,-50.414497,32,31,011448.33-502452.1,57862.9767,0,0,4,1,1,0.538,,,,,,,,,,,,,,,,,19.352,0.0228,19.4321,0.0997,18.687,0.0117,18.7077,0.19,7.6,504033003
