,r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
☄,17.15,502099824,62.50752,-54.997979,38,120,041001.80-545952.7,57902.8572,0,3,5,2,1,0.566,,,,,,,,,,,,,,,,,19.6015,0.0188,19.7425,0.0802,18.7303,0.0429,18.7711,0.122,15,
☄,17.24,502099719,62.491777,-55.000822,49,95,040958.02-550002.9,57816.0659,0,0,4,2,1,0.5,,,,,,,,,,,,,20.491,0.0394,20.5437,0.1351,19.6661,0.0546,19.7713,0.1525,,,,,15,
☄,32.99,502099708,62.512527,-55.00569,60,66,041003.00-550020.4,57759.3135,0,0,10,2,1,0.54,,,,,,,,,,,,,20.6298,0.019,20.7572,0.1214,19.1196,0.0092,19.1294,0.0826,18.5569,0.0177,18.6062,0.0654,15,
☄,40.55,502099707,62.508589,-55.010131,38,40,041002.06-550036.4,57763.8539,0,0,12,2,1,0.961,,,,,,,,,19.857,0.0088,19.8752,0.0598,19.3048,0.018,19.3619,0.0382,18.9742,0.0418,19.0645,0.0621,18.7443,0.0336,18.7998,0.1301,15,
☄,42.35,502099826,62.48619,-54.991305,24,23,040956.68-545928.6,57701.6002,0,0,9,1,1,0.933,,,,,,,,,19.9475,0.0819,19.9865,0.1486,19.4464,0.0113,19.4994,0.0438,19.0421,0.0094,18.926,0.1593,19.0113,0.0293,19.1053,0.1758,15,
☄,53.59,502099813,62.525811,-54.998449,58,79,041006.19-545954.4,57692.4631,0,0,5,2,1,0.571,,,,,,,,,20.4583,0.0149,20.5166,0.1271,20.1876,0.0109,20.2375,0.1087,,,,,,,,,15,
☄,62.23,502099706,62.509382,-55.016427,24,55,041002.25-550059.1,57736.236,0,0,15,1,1,0.983,,,,,19.1019,0.0418,18.8917,0.1459,18.4119,0.0115,18.4308,0.0184,18.2348,0.0072,18.2735,0.022,18.0779,0.0082,18.0813,0.0266,18.1527,0.0324,18.1068,0.0931,15,
☄,72.14,502099825,62.522119,-54.98449,29,22,041005.30-545904.1,57755.6116,0,0,12,1,1,0.963,,,,,,,,,20.8309,0.0347,21.1321,0.1548,19.9908,0.0236,20.1808,0.0936,18.346,0.0125,18.3894,0.0593,17.6681,0.0095,17.7652,0.0446,15,
☄,76.78,502099827,62.513657,-54.980163,20,17,041003.27-545848.5,57721.8776,0,6,15,1,1,0.989,16.6482,0.0109,16.7107,0.0304,16.2873,0.0074,16.2638,0.0146,14.7202,0.0105,14.7242,0.0105,14.3239,0.0076,14.32,0.0074,14.0351,0.0053,14.0356,0.0053,13.9376,0.0053,13.9457,0.0059,15,
☄,79.97,502099812,62.538093,-55.004014,21,31,041009.14-550014.4,57781.3722,0,0,13,1,1,0.977,,,,,,,,,19.7194,0.0109,19.7771,0.0708,18.8345,0.008,18.8386,0.0537,17.9413,0.0197,17.9374,0.0266,17.6291,0.0135,17.6896,0.0341,15,
☄,92.3,502099722,62.455307,-55.000438,21,23,040949.27-550001.5,57678.2517,0,0,12,1,1,0.981,,,,,,,,,19.0887,0.0149,19.2806,0.0544,18.2703,0.0074,18.2949,0.0218,17.2429,0.0066,17.3141,0.022,16.8685,0.0058,16.9152,0.028,15,
☄,95.84,502099703,62.501432,-55.02661,36,49,041000.34-550135.7,57692.1464,0,0,4,1,1,0.467,,,,,,,,,21.0354,0.0678,20.8322,0.1283,20.4869,0.0668,20.0313,0.1116,,,,,,,,,15,
☄,98.85,502099814,62.540673,-54.985523,59,41,041009.76-545907.8,57691.618,0,0,3,1,1,0.638,,,,,,,,,20.4041,0.0141,20.241,0.1156,20.1339,0.0537,20.1833,0.076,,,,,,,,,15,
