	r_cntr	object_id	raj2000	dej2000	e_raj2000	e_dej2000	smss_j	mean_epoch	flags	nimaflags	ngood	ngood_min	nch_max	class_star	u_psf	e_u_psf	u_petro	e_u_petro	v_psf	e_v_psf	v_petro	e_v_petro	g_psf	e_g_psf	g_petro	e_g_petro	r_psf	e_r_psf	r_petro	e_r_petro	i_psf	e_i_psf	i_petro	e_i_petro	z_psf	e_z_psf	z_petro	e_z_petro	prox	prox_id
☄	1.18	458076259	134.999042	-70.000016	36	36	085959.77-700000.0	57758.538	0	0	1	1	1	0.736									19.9319	0.0192	20.2595	0.1748													11.0	458076258
☄	11.08	458076258	134.998674	-69.996955	72	38	085959.68-695949.0	57715.8882	1	3	12	1	1	0.97									20.1271	0.0522	20.1971	0.0861	19.4798	0.0115	19.4452	0.0713	19.0119	0.0102	18.9792	0.1198	18.7269	0.0294	18.5489	0.1479	8.4	458076257
☄	12.61	458076238	135.003858	-70.003246	26	23	090000.92-700011.6	57546.6174	0	6	28	6	1	0.986									17.5194	0.0049	17.5443	0.0092	16.6241	0.0097	16.6258	0.0092	15.8707	0.0043	15.8966	0.0121	15.5708	0.0052	15.6133	0.0152	13.1	458076259
☄	14.4	458076257	135.005293	-69.996433	17	18	090001.27-695947.1	57583.0096	0	0	28	1	1	0.983	18.7824	0.024	18.9733	0.1718	18.5864	0.0173	18.5136	0.068	17.439	0.0075	17.4561	0.0107	17.0779	0.0053	17.0822	0.0106	16.8749	0.0113	16.9064	0.0138	16.7807	0.0151	16.8502	0.1047	8.4	458076258
☄	23.66	458076260	134.994994	-69.993654	96	107	085958.79-695937.1	57723.9284	0	0	13	1	1	0.966									19.7348	0.03	19.7123	0.0714	19.3651	0.0188	19.4083	0.0382	19.2032	0.0184	19.3115	0.0766	19.0435	0.0476	19.3103	0.2108	12.7	458076258
☄	24.23	458076236	135.01906	-69.998332	26	28	090004.57-695953.9	57697.7607	0	0	10	3	1	0.952									20.2002	0.0131	20.2783	0.0821	19.7281	0.0481	19.7258	0.0733	19.3835	0.0284	19.564	0.1122					12.7	458076235
☄	24.65	458076274	134.997686	-70.0068	36	36	085959.44-700024.4	57758.538	0	0	1	1	1	0.525									20.1186	0.0264	20.4707	0.1999													14.9	458076238
☄	31.48	458076273	135.011713	-70.007773	81	311	090002.81-700027.9	57778.5699	0	0	2	2	1	0.641													20.8504	0.077	20.7946	0.1234									13.0	458076237
☄	33.8	458076237	135.020982	-70.006054	27	32	090005.03-700021.7	57532.1112	0	0	17	3	1	0.969									20.0426	0.0318	19.947	0.0538	19.1129	0.0076	19.1676	0.0381	17.9108	0.0076	17.9966	0.0417	17.3887	0.015	17.4745	0.0327	13.0	458076273
☄	35.56	458076261	134.98145	-69.99243	48	49	085955.54-695932.7	57769.6777	0	0	9	2	1	0.943									20.2941	0.0108	20.2443	0.2037	19.791	0.038	19.7615	0.0996	19.418	0.0161	19.5478	0.1252					14.3	458076262
☄	35.77	458076235	135.028978	-69.999284	29	31	090006.95-695957.4	57727.2764	0	0	12	1	1	0.908									21.1345	0.0337	21.1006	0.1769	20.1165	0.0243	20.0958	0.0553	19.042	0.0452	18.8863	0.1002	18.6009	0.04	18.6747	0.1316	12.7	458076236
☄	37.46	458076256	134.994286	-69.989781	36	36	085958.62-695923.2	57758.538	0	0	1	1	1	0.983									17.292	0.0105	17.3144	0.0166													7.7	458076262
☄	40.81	458076289	134.968033	-70.003	35	42	085952.32-700010.8	57780.5503	0	0	4	1	1	0.55									21.0441	0.0143	21.2195	0.2043	20.4409	0.0364	20.7508	0.1436									13.5	458076288
☄	41.44	458076262	134.988276	-69.98921	36	36	085957.18-695921.1	57806.5233	0	0	1	1	1	0.517													20.689	0.0341	20.8685	0.181									7.7	458076256
☄	41.48	458076272	135.007438	-70.011237	53	25	090001.78-700040.4	57700.773	0	0	8	2	1	0.619													20.5427	0.0226	20.4752	0.1763	19.25	0.044	19.1971	0.0868	18.8336	0.0235	18.994	0.1268	13.5	458076273
☄	44.5	458076288	134.963883	-69.999514	21	29	085951.33-695958.2	57576.3752	0	1	19	4	1	0.981									18.5407	0.0122	18.5871	0.023	18.157	0.0056	18.1813	0.0244	17.8901	0.0142	17.9635	0.0258	17.7935	0.0075	17.8649	0.0496	13.5	458076289
☄	45.77	458076234	135.036856	-70.001663	27	27	090008.84-700005.9	57570.4267	0	0	20	4	1	0.979									18.8786	0.0075	18.9131	0.0336	18.3758	0.0055	18.3905	0.0173	18.0806	0.0095	18.0928	0.043	17.9691	0.0284	18.0317	0.0711	12.9	458076235
☄	49.65	458076255	135.000692	-69.986211	23	30	090000.16-695910.3	57520.8614	2	18	46	6	1	0.993	16.313	0.0076	16.3285	0.0195	15.9473	0.0044	15.9491	0.0134	14.7755	0.0038	14.7585	0.0045	14.4476	0.0059	14.4362	0.0126	14.2642	0.0045	14.231	0.0176	14.2277	0.0044	14.168	0.0201	8.2	458076249
☄	50.58	458076243	135.009722	-69.986348	31	35	090002.33-695910.8	57780.5517	1	0	4	1	1	0.88													20.0302	0.0527	19.6759	0.0573	19.3913	0.063	19.3915	0.1395					11.1	458076255
☄	50.91	458076228	135.035515	-69.992762	36	36	090008.52-695933.9	57806.5233	0	0	1	1	1	0.488													20.903	0.0461	21.4294	0.3654									10.9	458076227
☄	56.1	458076292	134.955787	-69.996239	15	32	085949.38-695946.4	57780.5457	3	0	8	2	1	0.972									19.6265	0.0079	19.6652	0.0522	19.3104	0.0151	19.3667	0.0731	19.0947	0.0189	19.0269	0.1029					8.4	458076293
☄	56.98	458076267	135.02242	-70.013847	21	34	090005.38-700049.8	57690.3059	0	2	8	2	1	0.923									20.6668	0.0252	20.8622	0.0901	19.8938	0.0164	19.881	0.0872	19.2792	0.0624	19.3787	0.1153					12.3	458076268
☄	57.19	458076249	134.997932	-69.98413	15	30	085959.50-695902.8	57460.3769	3	0	15	3	1	0.983													17.6024	0.0066	17.5817	0.0193	16.9306	0.0058	16.9426	0.0196	16.6862	0.006	16.6695	0.0404	8.2	458076255
☄	57.23	458076290	134.95386	-70.001932	86	25	085948.92-700006.9	57790.53	3	0	3	1	1	0.889													19.9489	0.0131	20.0301	0.0671	19.5382	0.0418	19.1581	0.1735					4.5	458076291
