	r_cntr	object_id	raj2000	dej2000	e_raj2000	e_dej2000	smss_j	mean_epoch	flags	nimaflags	ngood	ngood_min	nch_max	class_star	u_psf	e_u_psf	u_petro	e_u_petro	v_psf	e_v_psf	v_petro	e_v_petro	g_psf	e_g_psf	g_petro	e_g_petro	r_psf	e_r_psf	r_petro	e_r_petro	i_psf	e_i_psf	i_petro	e_i_petro	z_psf	e_z_psf	z_petro	e_z_petro	prox	prox_id
☄	7.91	98694925	201.977868	-31.490323	59	40	132754.68-312925.1	57834.006	3	0	22	3	1	0.862									18.1606	0.0178	17.9982	0.05	17.7077	0.0147	17.6946	0.1164	17.2357	0.0186	16.9212	0.0927	16.9974	0.0191	16.8428	0.0652	15.0	
☄	24.61	98694924	201.971262	-31.493368	39	42	132753.10-312936.1	57574.1981	0	2	41	3	1	0.566					18.6665	0.0281	18.2747	0.1296	16.6742	0.0314	16.1948	0.019	16.0787	0.0321	15.6117	0.0132	15.6753	0.0201	15.1181	0.0148	15.3325	0.0237	14.7914	0.0086	15.0	
☄	26.39	98694918	201.986885	-31.495452	75	86	132756.85-312943.6	57476.2824	3	14	38	1	1	0.483	19.1125	0.1037	18.1019	0.0937	18.5362	0.0712	16.9457	0.2606	16.5062	0.1089	13.8207	0.118	15.9097	0.0605	13.2554	0.1016	15.5055	0.0609	12.8494	0.1064	15.2134	0.0636	12.601	0.1005	15.0	
☄	27.04	98694926	201.984585	-31.486301	35	102	132756.30-312910.6	57754.433	3	4	23	2	1	0.521									18.1645	0.0569	18.2633	0.1619	17.6912	0.0369	17.0241	0.0902	17.1758	0.024	16.4647	0.0661	16.9146	0.0311	16.5264	0.038	15.0	
☄	36.6	98694929	201.9819	-31.482326	31	36	132755.65-312856.3	57625.7615	3	4	39	1	1	0.604					18.94	0.0648	18.826	0.1421	17.2576	0.0333	16.3527	0.0293	16.5392	0.0267	15.8389	0.0371	16.1256	0.0263	15.384	0.0269	15.8509	0.0242	15.1254	0.0279	15.0	
☄	40.04	98694917	201.975015	-31.502766	34	28	132754.00-313009.9	57288.2363	0	0	3	1	1	0.585									19.9375	0.0209	20.2709	0.1064	19.6172	0.0173	19.9601	0.2963									15.0	
☄	42.83	98694921	201.993082	-31.491366	36	36	132758.33-312928.9	57467.5797	1	0	1	1	1	0.213													18.9639	0.0186	22.4872	5.2169									9.8	98694920
☄	47.55	98694920	201.994546	-31.493794	53	31	132758.69-312937.6	57896.104	3	0	16	1	1	0.658									18.2814	0.0405	18.7992	0.1655	17.7202	0.0207	17.4426	0.1289	17.2759	0.0171	16.8379	0.066	16.9966	0.0165	16.7309	0.0611	9.8	98694921
☄	50.39	98694927	201.970131	-31.480537	45	45	132752.83-312849.9	57612.9386	0	0	13	2	1	0.955									18.3884	0.0495	18.3089	0.0285	18.0573	0.0141	18.0594	0.04	17.8667	0.0079	17.8583	0.0632	17.7327	0.0228	17.7376	0.0797	13.7	98694928
☄	55.29	98694933	201.996049	-31.486869	373	88	132759.05-312912.7	57605.3166	3	3	34	5	1	0.505									17.479	0.0681	15.6764	0.0844	16.6875	0.0517	15.1678	0.0464	16.2091	0.0561	14.7371	0.052	15.9863	0.0537	14.4855	0.0432	8.6	98694932
☄	58.77	98694916	201.982645	-31.508275	55	47	132755.83-313029.7	57654.3063	0	0	33	4	1	0.983									17.7401	0.0287	17.7894	0.0191	16.9172	0.0057	16.9509	0.0137	16.1933	0.0039	16.2116	0.0091	15.9065	0.0082	15.9292	0.011	15.0	
☄	59.77	98694928	201.971575	-31.476935	47	35	132753.17-312836.9	57307.709	1	0	7	2	1	0.688									20.0189	0.0446	19.6671	0.0858	19.4916	0.0533	19.5036	0.1212	18.9568	0.0752	18.7963	0.3039					13.7	98694927
☄	61.07	98694911	201.959844	-31.496262	23	56	132750.36-312946.5	57380.797	0	0	9	1	1	0.484									19.1765	0.0749	18.5186	0.0748	18.9528	0.0765	18.223	0.041	18.713	0.0468	18.119	0.1155	18.65	0.0878	17.9998	0.1045	15.0	
☄	62.17	98694919	201.989845	-31.506895	24	30	132757.56-313024.8	57652.4509	1	0	12	1	1	0.915									18.7034	0.0158	19.5899	0.2873	18.2367	0.0285	18.2009	0.3192	17.8725	0.0283	18.0072	0.1316	17.7647	0.0389	17.8149	0.0872	15.0	
☄	62.76	98694932	201.998797	-31.487351	165	190	132759.71-312914.4	58154.4987	3	3	6	3	1	0.31																	17.6881	0.0981	16.2911	0.0711	17.5343	0.1144	16.1311	0.0455	8.6	98694933
☄	64.82	98694931	201.98751	-31.475683	71	34	132757.00-312832.4	57503.4577	1	0	9	1	1	0.611									19.9113	0.0572	19.1009	0.2712	19.4585	0.0713	18.6797	0.1246	18.9499	0.048	18.305	0.1619	18.8941	0.1557	18.1319	0.1201	15.0	
