	r_cntr	object_id	raj2000	dej2000	e_raj2000	e_dej2000	smss_j	mean_epoch	flags	nimaflags	ngood	ngood_min	nch_max	class_star	u_psf	e_u_psf	u_petro	e_u_petro	v_psf	e_v_psf	v_petro	e_v_petro	g_psf	e_g_psf	g_petro	e_g_petro	r_psf	e_r_psf	r_petro	e_r_petro	i_psf	e_i_psf	i_petro	e_i_petro	z_psf	e_z_psf	z_petro	e_z_petro	prox	prox_id
☄	19.52	83421177	157.500568	-35.338736	34	28	103000.13-352019.4	57665.5275	0	0	5	1	1	0.446									20.9976	0.0889	20.5903	0.1462	20.3895	0.0223	20.7844	0.2907	19.9436	0.0285	20.3271	0.4788					15.0	
☄	27.27	83422201	157.508693	-35.335999	36	36	103002.08-352009.5	57807.5573	0	0	1	1	1	0.5																	20.0466	0.0739	21.8567	1.821					15.0	
☄	29.59	83421187	157.502781	-35.325434	62	53	103000.66-351931.5	57423.2227	2	19	48	5	1	0.592	17.4785	0.0412	15.8117	0.1303	17.1447	0.0446	15.4816	0.0996	15.0698	0.0826	12.856	0.1387	14.4083	0.078	12.1625	0.0792	13.7841	0.0851	11.5801	0.0282	13.4808	0.0763	11.2294	0.0441	15.0	
☄	36.07	83422205	157.509677	-35.327163	63	61	103002.32-351937.7	57428.8515	1	4	8	3	1	0.704					19.3512	0.0151	19.3907	0.1726	17.7036	0.0214	17.2418	0.1165													15.0	
☄	41.59	83421176	157.485953	-35.334809	179	24	102956.62-352005.3	57587.5122	3	0	8	1	1	0.621									19.763	0.0203	19.8773	0.1123	19.4656	0.0113	19.3161	0.1255	19.3498	0.0127	18.8948	0.3031	19.2693	0.0462	19.1302	0.1827	5.4	83421175
☄	45.47	83422075	157.507714	-35.344285	42	50	103001.85-352039.4	57568.8603	0	0	9	2	1	0.648													20.2313	0.0665	19.5599	0.0631	19.4997	0.0466	18.8857	0.1086	19.0759	0.0532	18.5045	0.11	8.5	83421029
☄	45.85	83421027	157.489524	-35.342777	35	28	102957.48-352033.9	57568.8621	0	0	6	2	1	0.634																	19.6701	0.0221	19.8701	0.0849	18.8805	0.035	19.0411	0.0892	15.0	
☄	45.92	83421029	157.505135	-35.345382	24	33	103001.23-352043.3	57589.8226	0	0	13	2	1	0.977									20.121	0.013	20.077	0.1911	19.2456	0.0229	19.355	0.0699	18.5713	0.0077	18.6494	0.0355	18.3369	0.0212	18.4076	0.0584	8.5	83422075
☄	46.1	83421175	157.484607	-35.335848	69	37	102956.30-352009.0	57807.5524	3	0	2	1	1	0.011									20.9901	0.0602	20.4669	0.1974	20.6481	0.0837	20.4329	0.2919									5.4	83421176
☄	52.83	83422210	157.511709	-35.322195	36	36	103002.81-351919.9	57038.6741	1	0	1	1	1	0.021																	18.2035	0.0722	17.1325	0.1381					15.0	
☄	52.87	83421028	157.502354	-35.347894	25	25	103000.56-352052.4	57520.6959	0	4	37	5	1	0.983					19.2965	0.0324	19.3845	0.0881	17.4127	0.01	17.4363	0.0112	16.9182	0.0079	16.9416	0.0104	16.6394	0.0078	16.6623	0.0095	16.5223	0.0083	16.5804	0.0165	12.2	83421029
☄	53.65	83421188	157.497489	-35.318571	25	27	102959.39-351906.8	57510.2895	3	0	52	6	1	0.975	17.9297	0.0073	18.1125	0.0442	17.5206	0.0083	17.5781	0.0363	16.4185	0.006	16.283	0.0182	16.1194	0.0182	15.9576	0.0274	15.8957	0.0102	15.7676	0.0261	15.8124	0.0082	15.6973	0.0324	15.0	
☄	56.34	83422074	157.509494	-35.346934	24	27	103002.27-352048.9	57485.7711	0	0	17	3	1	0.979									18.6942	0.0078	18.7378	0.0245	18.3431	0.0114	18.4026	0.0235	18.1552	0.0142	18.2204	0.0416	18.1136	0.0219	18.2484	0.0872	10.9	83422075
☄	59.62	83421186	157.490988	-35.318493	300	166	102957.83-351906.5	57538.2799	1	0	4	2	1	0.101																	19.2831	0.0898	18.0685	0.1757	18.8064	0.0736	17.5236	0.0743	15.0	
☄	61.8	83421171	157.478993	-35.332358	29	29	102954.95-351956.4	57609.6347	0	0	9	2	1	0.832									20.448	0.0166	20.5558	0.0942	19.7895	0.0269	20.1009	0.183	19.3157	0.0142	19.2479	0.1015	19.0799	0.015	19.1489	0.1312	6.2	83421170
☄	64.46	83422211	157.517565	-35.322596	69	167	103004.21-351921.3	57627.0445	1	0	2	2	1	0.0																					19.1469	0.1664	17.7331	0.2211	15.0	
☄	66.97	83421170	157.477335	-35.331279	114	36	102954.56-351952.6	57627.0431	0	0	2	2	1	0.612																	19.7409	0.0256	19.869	0.1175					6.2	83421171
☄	69.91	83422204	157.521174	-35.342209	58	39	103005.08-352031.9	57501.7796	0	0	34	6	1	0.764									18.1841	0.0308	17.6232	0.0311	17.6645	0.0271	17.0334	0.0245	17.1172	0.0233	16.5202	0.0192	16.8837	0.0305	16.2199	0.0189	15.0	
☄	72.66	83421169	157.475322	-35.331892	30	37	102954.07-351954.8	57563.0501	0	0	13	3	1	0.978									19.5607	0.0108	19.5652	0.0355	19.0942	0.0196	19.1092	0.0305	18.7629	0.0107	18.8461	0.0386	18.6767	0.0097	18.869	0.065	6.3	83421170
☄	73.46	83421190	157.494323	-35.313459	52	31	102958.63-351848.4	57536.7893	3	0	4	1	1	0.837																	19.0201	0.0447	18.7596	0.0953	18.3684	0.0212	18.1897	0.059	2.9	83421191
☄	74.8	83421025	157.475569	-35.33921	23	26	102954.13-352021.1	57563.0501	0	0	13	3	1	0.962									19.389	0.009	19.3816	0.0325	19.1234	0.0388	19.1262	0.0325	18.9699	0.0101	18.9987	0.0925	18.969	0.0126	19.0008	0.0798	12.6	83421024
☄	75.37	83421191	157.494894	-35.312817	77	210	102958.77-351846.1	57460.9858	3	0	18	3	1	0.966									19.6197	0.0314	19.0342	0.1081	18.7211	0.029	18.2105	0.1081	18.0272	0.0167	17.842	0.0855	17.8021	0.0099	17.8104	0.0518	2.9	83421190
☄	79.21	83422202	157.52168	-35.346423	22	26	103005.20-352047.1	57516.8025	0	0	15	2	1	0.967									19.4855	0.015	19.5905	0.0354	18.9211	0.0084	18.8517	0.105	18.504	0.0216	18.6187	0.0325	18.3535	0.0329	18.4514	0.1051	7.4	83422203
☄	81.58	83422213	157.52678	-35.327315	179	87	103006.42-351938.3	57807.5552	1	0	2	1	1	0.592													20.5577	0.0406	20.6126	0.2785	19.9439	0.0702	19.1202	0.134					7.7	83422212
☄	81.9	83421174	157.476724	-35.320806	80	85	102954.41-351914.9	57493.5727	3	13	32	6	1	0.457									18.3184	0.084	16.1856	0.0923	17.8027	0.0826	15.6679	0.0855	17.3616	0.0619	15.4293	0.0592	17.2069	0.0718	15.351	0.0554	14.8	83421179
☄	82.39	83421173	157.473834	-35.325081	21	21	102953.72-351930.2	57446.0451	3	9	64	9	1	0.991	16.0615	0.0085	16.075	0.0173	15.6796	0.0081	15.6928	0.0183	14.7234	0.0036	14.7288	0.0044	14.4653	0.0041	14.4662	0.0057	14.3108	0.0035	14.326	0.005	14.2853	0.0032	14.3205	0.0056	13.1	83421172
☄	82.77	83421193	157.500205	-35.310341	42	46	103000.04-351837.2	57551.3859	0	0	7	3	1	0.532																	19.4988	0.0557	19.3126	0.0645	18.8898	0.0596	18.5083	0.0791	15.0	
☄	84.01	83422212	157.528138	-35.329134	22	27	103006.75-351944.8	57498.7141	0	0	32	7	1	0.987									17.156	0.01	17.1882	0.01	16.4593	0.0071	16.4687	0.0161	15.9579	0.0057	15.9873	0.0134	15.7688	0.0059	15.8112	0.0133	7.7	83422213
☄	84.06	83422073	157.511854	-35.354588	60	34	103002.84-352116.5	57665.5275	0	1	5	1	1	0.574									21.0964	0.1083	20.9129	0.3045	20.5797	0.0293	20.3836	0.0989	20.0143	0.0479	20.0181	0.1678					15.0	
☄	84.62	83421024	157.473306	-35.342183	25	26	102953.59-352031.8	57569.5214	0	0	9	2	1	0.903									21.057	0.0608	20.871	0.219	20.1952	0.0613	20.2092	0.0873	19.4934	0.0259	19.3859	0.0757	19.1538	0.1113	19.1432	0.1552	5.2	83421023
☄	85.13	83422203	157.52419	-35.346367	52	35	103005.80-352046.9	57630.0201	0	0	4	2	1	0.687									20.9787	0.0143	21.077	0.1388	20.6022	0.0148	20.5909	0.1423									7.4	83422202
☄	85.32	83421179	157.478853	-35.317087	94	199	102954.92-351901.5	57568.8596	1	0	3	3	1	0.568																	19.5212	0.0324	18.8388	0.0794					11.5	83421180
☄	86.57	83421189	157.485591	-35.312355	45	84	102956.54-351844.4	57569.8503	0	0	6	2	1	0.771									20.7644	0.012	20.8339	0.0919	20.3151	0.0666	20.3281	0.1084	19.965	0.0354	20.1953	0.1288					13.5	83421192
☄	87.54	83421026	157.505143	-35.357285	43	71	103001.23-352126.2	57450.5052	0	0	3	1	1	0.547																	19.7859	0.0193	19.8485	0.1459	19.3396	0.0319	19.6269	0.2574	15.0	
☄	89.05	83421023	157.472276	-35.343355	99	62	102953.34-352036.0	57630.0229	0	0	4	2	1	0.638													20.8757	0.0256	20.7768	0.1395	19.9025	0.0333	19.9346	0.1085					5.2	83421024
☄	90.72	83421180	157.480091	-35.314066	36	36	102955.22-351850.6	57452.4885	0	0	1	1	1	0.301													20.8728	0.0659	21.3928	0.4635									11.5	83421179
☄	93.04	83421172	157.471547	-35.32197	76	34	102953.17-351919.0	57552.237	1	0	7	1	1	0.82													20.0285	0.1264	19.207	0.0798	19.3934	0.0714	18.7923	0.1341	18.9687	0.0366	18.523	0.1962	13.1	83421173
☄	96.02	83421020	157.474636	-35.350168	34	33	102953.91-352100.6	57603.8085	0	0	7	2	1	0.851									20.3967	0.0174	20.5076	0.1269	20.2335	0.0146	20.3718	0.0701	19.9254	0.0168	20.1974	0.1194					10.8	83421018
☄	96.83	83422214	157.524711	-35.31553	23	24	103005.93-351855.9	57508.4942	0	8	49	4	1	0.983	18.705	0.0128	18.8647	0.0718	18.2642	0.0069	18.2502	0.0398	16.6717	0.006	16.6704	0.0067	16.2062	0.0099	16.1954	0.0065	15.9032	0.0036	15.9078	0.0058	15.7786	0.004	15.7729	0.0213	14.1	83422215
☄	98.2	83421192	157.48586	-35.308617	18	20	102956.60-351831.0	57518.2051	0	5	49	5	1	0.986	18.0129	0.021	18.0239	0.0325	17.7041	0.0066	17.6526	0.0467	16.307	0.0042	16.3156	0.0094	15.8966	0.0041	15.9144	0.0074	15.6487	0.0044	15.6626	0.0077	15.5522	0.0055	15.5787	0.0088	13.5	83421189
☄	99.0	83421184	157.481133	-35.310547	26	28	102955.47-351837.9	57492.1021	0	0	23	3	1	0.983									18.8719	0.0075	19.008	0.0266	17.9368	0.009	17.9953	0.0285	17.0574	0.0052	17.1267	0.0108	16.7391	0.01	16.8102	0.0132	13.0	83421180
