,r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
☄,42.2,17708669,52.606141,-28.089606,45,51,033025.47-280522.5,57701.3114,0,0,4,2,1,0.685,,,,,,,,,,,,,,,,,18.3453,0.0136,18.4356,0.0783,18.0985,0.0383,18.1577,0.2186,15,
☄,53.85,17707574,52.588614,-28.088916,37,39,033021.26-280520.0,57056.779,0,0,16,3,1,0.981,,,,,,,,,17.9008,0.0228,17.8953,0.0589,16.942,0.0128,17.0354,0.0948,16.0395,0.0146,16.0716,0.0325,15.6811,0.0057,15.7182,0.0122,15,
☄,54.36,17707576,52.613618,-28.109149,21,38,033027.26-280632.9,57146.5753,0,3,13,2,1,0.982,,,,,,,,,17.2129,0.0345,17.1505,0.1253,16.2756,0.0125,16.4333,0.0313,14.6464,0.0054,14.6596,0.0122,14.0207,0.0053,14.0212,0.011,15,
☄,73.41,17707573,52.582447,-28.086733,22,17,033019.78-280512.2,56990.0946,0,2,25,3,1,1,14.9103,0.0061,14.9002,0.0187,14.5084,0.0108,14.5031,0.009,12.7251,0.0075,12.7116,0.0108,12.2528,0.0053,12.247,0.0096,11.9706,0.0079,11.9567,0.0219,11.8657,0.0048,11.8602,0.0099,15,
☄,83.19,17707575,52.605179,-28.122651,214,36,033025.24-280721.5,57963.3229,0,0,2,2,1,0.541,,,,,,,,,,,,,,,,,19.2157,0.0197,19.0039,0.1065,,,,,15,
☄,105.63,17707566,52.588326,-28.127477,72,30,033021.19-280738.9,57094.4922,0,0,22,4,1,0.952,,,,,,,,,17.8591,0.0506,17.8129,0.0716,17.3487,0.0095,17.5262,0.0628,17.0603,0.0138,17.0649,0.0213,16.9811,0.0205,16.9393,0.06,15,
☄,111.35,17707568,52.60098,-28.130918,36,36,033024.23-280751.3,57970.8174,0,0,1,1,1,0.52,,,,,,,,,,,,,,,,,19.1877,0.0174,19.2188,0.1439,,,,,15,
☄,115.5,17708681,52.636365,-28.099454,81,86,033032.72-280558.0,57166.238,0,3,8,3,1,0.71,,,,,,,,,,,,,,,,,17.8731,0.0117,17.8957,0.0371,17.3954,0.0093,17.5074,0.0806,15,
☄,125.19,17707571,52.562327,-28.110246,50,30,033014.95-280636.8,57434.142,0,0,8,4,1,0.729,,,,,,,,,,,,,,,,,17.6843,0.0065,17.6281,0.027,17.1204,0.0098,17.1279,0.0376,15,
☄,126.09,17707572,52.562754,-28.087867,17,20,033015.06-280516.3,57035.6976,0,4,22,3,1,0.999,15.1879,0.0062,15.1762,0.0353,14.8386,0.0063,14.8186,0.0197,13.8401,0.01,13.8258,0.0184,13.6001,0.0099,13.5896,0.0192,13.476,0.0079,13.4736,0.0201,13.4733,0.0048,13.4705,0.0102,15,
☄,142.22,17707569,52.617604,-28.136327,32,34,033028.22-280810.7,57045.5324,0,3,22,3,1,0.977,,,,,,,,,16.839,0.0078,16.8452,0.0569,16.5606,0.0088,16.6441,0.0427,16.4037,0.0058,16.4103,0.016,16.393,0.0206,16.3712,0.0305,15,
☄,144.6,17708683,52.636141,-28.075574,36,91,033032.67-280432.0,57462.1821,0,0,2,2,1,0.542,,,,,,,,,,,,,,,,,19.4728,0.0377,19.6006,0.1082,,,,,15,
☄,152.26,17708682,52.645383,-28.086366,30,45,033034.89-280510.9,57357.4759,0,3,7,2,1,0.565,,,,,,,,,,,,,,,,,18.1417,0.0346,18.1168,0.0523,18.067,0.0498,17.9536,0.1121,15,
☄,155.81,17707182,52.55885,-28.123575,27,19,033014.12-280724.8,57114.3894,0,3,15,1,1,0.974,,,,,,,,,18.0735,0.0169,18.0357,0.123,17.4044,0.0096,17.4155,0.0666,16.4722,0.008,16.4621,0.0179,16.0868,0.0078,16.0941,0.0324,15,
☄,165.35,17708677,52.598738,-28.054082,89,64,033023.69-280314.6,57297.9942,0,3,11,5,1,0.718,,,,,,,,,,,,,,,,,18.0299,0.0116,17.8699,0.0307,17.5982,0.0116,17.5295,0.0406,15,
