,r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
☄,10.35,94759319,192.500291,-41.336201,116,35,125000.06-412010.3,57809.7983,0,0,5,2,1,0.97,,,,,,,,,,,,,,,,,18.4465,0.0186,18.5495,0.0519,18.2613,0.0098,18.3193,0.0893,15,
☄,20.32,94759313,192.492671,-41.332074,31,25,124958.24-411955.4,57753.0996,0,0,6,3,1,0.966,,,,,,,,,,,,,,,,,18.1828,0.0153,18.3058,0.0429,18.1226,0.0369,18.0982,0.1439,15,
☄,30.07,94759320,192.511003,-41.332105,28,112,125002.64-411955.5,57753.0995,0,0,6,1,1,0.973,,,,,,,,,,,,,18.266,0.0202,18.4234,0.2426,18.0601,0.0089,18.1418,0.0359,17.9487,0.03,18.0247,0.0708,9.4,94759326
☄,30.99,94759325,192.501804,-41.324832,92,85,125000.43-411929.3,57894.8464,0,0,4,2,1,0.672,,,,,,,,,,,,,,,,,19.4087,0.0423,19.4049,0.124,18.721,0.0423,18.8952,0.1059,10.8,94759317
☄,38.42,94759317,192.499,-41.322687,74,25,124959.76-411921.6,57894.8464,0,0,4,2,1,0.939,,,,,,,,,,,,,,,,,18.881,0.0221,18.8643,0.0676,18.8277,0.0124,18.9407,0.1182,6.4,94759328
☄,38.48,94759312,192.486156,-41.330851,27,19,124956.67-411951.0,57337.5847,3,3,22,2,1,0.986,16.6762,0.071,16.6807,0.1503,16.1663,0.073,16.3628,0.063,15.1858,0.0085,15.1972,0.0215,14.855,0.0081,14.8693,0.024,14.6482,0.0043,14.6707,0.0217,14.5666,0.0049,14.608,0.0126,15,
☄,38.96,94759326,192.514002,-41.330773,36,25,125003.36-411950.7,57894.8464,0,0,4,2,1,0.933,,,,,,,,,,,,,,,,,18.6764,0.0112,18.7764,0.0737,18.5964,0.0999,18.6318,0.1427,9.4,94759320
☄,42.11,94759328,192.500932,-41.321656,36,36,125000.22-411917.9,57894.3498,0,0,1,1,1,0.517,,,,,,,,,,,,,,,,,19.7618,0.0187,20.1211,0.1367,,,,,6.4,94759317
☄,47.41,94759318,192.512821,-41.342319,32,32,125003.07-412032.3,57809.7983,0,0,5,2,1,0.977,,,,,,,,,,,,,,,,,18.1282,0.0105,18.2124,0.0626,17.8442,0.0116,17.8369,0.0679,15,
☄,52.65,94759311,192.48177,-41.328188,57,41,124955.62-411941.4,57383.8376,2,9,16,2,1,0.999,,,,,,,,,15.1303,0.0107,15.0724,0.032,14.1899,0.008,14.1211,0.0237,12.7362,0.0062,12.721,0.0161,12.194,0.0058,12.1956,0.0134,13.4,94759315
☄,54.66,94759305,192.492933,-41.34756,38,69,124958.30-412051.2,57894.8464,0,0,4,2,1,0.926,,,,,,,,,,,,,,,,,18.8344,0.0095,18.915,0.0737,18.6277,0.0153,18.6897,0.1316,15,
☄,60.32,94759315,192.481031,-41.324511,38,38,124955.44-411928.2,57753.0996,0,0,6,3,1,0.974,,,,,,,,,,,,,,,,,18.0854,0.0298,18.2114,0.0674,17.8733,0.0417,17.759,0.0857,10.6,94759316
☄,63.85,94759295,192.511255,-41.348927,30,19,125002.70-412056.1,57331.298,0,6,21,2,1,0.999,15.3138,0.031,15.3152,0.0258,14.8735,0.0094,14.8332,0.1078,13.8349,0.0099,13.8314,0.0135,13.5279,0.0061,13.5296,0.0142,13.3331,0.0043,13.3367,0.0167,13.2721,0.0047,13.294,0.011,15,
☄,64.59,94759432,192.497571,-41.315486,22,39,124959.41-411855.7,57648.2423,0,0,5,2,1,0.982,,,,,,,,,,,,,,,,,17.4968,0.0075,17.5603,0.0244,17.401,0.0097,17.4417,0.0746,15,
☄,65.11,94759431,192.491784,-41.316331,34,36,124958.02-411858.7,57894.8464,0,0,4,2,1,0.955,,,,,,,,,,,,,,,,,18.7711,0.0201,19.025,0.0781,18.5655,0.1678,18.6457,0.158,15,
