	r_cntr	object_id	raj2000	dej2000	e_raj2000	e_dej2000	smss_j	mean_epoch	flags	nimaflags	ngood	ngood_min	nch_max	class_star	u_psf	e_u_psf	u_petro	e_u_petro	v_psf	e_v_psf	v_petro	e_v_petro	g_psf	e_g_psf	g_petro	e_g_petro	r_psf	e_r_psf	r_petro	e_r_petro	i_psf	e_i_psf	i_petro	e_i_petro	z_psf	e_z_psf	z_petro	e_z_petro	prox	prox_id
☄	20.0	461852877	170.06827	-85.333176	50	51	112016.38-851959.4	57497.5424	0	3	3	1	1	0.68																	18.9324	0.0445	18.9873	0.3505	18.3485	0.0545	18.1798	0.1476	15.0	
☄	23.93	461852881	169.923718	-85.33572	46	34	111941.69-852008.5	57497.5431	0	0	4	2	1	0.882																	17.8585	0.055	17.688	0.0892	17.8002	0.0257	17.7456	0.092	15.0	
☄	25.58	461852876	170.055566	-85.327854	10	42	112013.33-851940.2	57497.5431	0	0	4	2	1	0.903																	18.1991	0.017	18.1764	0.0647	17.8398	0.025	17.9763	0.1852	15.0	
☄	34.02	461852879	170.091358	-85.339173	33	48	112021.92-852021.0	57497.5431	0	3	4	2	1	0.948																	18.0191	0.036	18.1773	0.0926	17.952	0.029	18.0822	0.1072	15.0	
☄	37.36	461852875	170.109528	-85.328023	380	281	112026.28-851940.8	57497.5433	0	6	3	1	1	0.737																	18.6027	0.1383	18.7372	0.1474	18.1061	0.1225	17.8047	0.1641	15.0	
☄	42.72	461852885	169.966915	-85.34489	86	35	111952.05-852041.6	57487.1602	0	0	13	3	1	0.978													17.2587	0.0214	17.299	0.0774	17.1468	0.0067	17.1626	0.0246	17.0845	0.0214	17.0875	0.0504	15.0	
☄	49.69	461852886	169.886953	-85.343633	143	66	111932.86-852037.0	57497.5424	0	0	2	2	1	0.547																	19.1281	0.0462	19.1458	0.1311					15.0	
☄	50.82	461852861	170.041168	-85.319621	119	178	112009.88-851910.6	57497.5424	0	1	2	2	1	0.505																	19.0332	0.1047	19.1551	0.1932					15.0	
☄	58.21	461852874	170.179823	-85.326468	34	35	112043.15-851935.2	57497.5424	0	0	3	1	1	0.602																	18.9332	0.0372	18.8205	0.1616	18.5154	0.0159	18.3084	0.1829	11.9	461852860
☄	66.69	461852860	170.191135	-85.323291	36	27	112045.87-851923.8	57497.5424	0	0	3	1	1	0.635																	18.9013	0.0404	19.1993	0.144	18.492	0.0455	18.8761	0.2338	10.9	461852857
☄	67.83	461852880	170.086276	-85.350824	31	60	112020.70-852102.9	57400.9281	0	4	13	1	1	0.981													17.6166	0.0206	17.7161	0.1272	16.9013	0.0119	16.9541	0.0387	16.5742	0.0166	16.6596	0.0535	15.0	
☄	72.6	461852858	170.224616	-85.324843	20	32	112053.90-851929.4	57497.5431	0	0	4	2	1	0.958																	17.7957	0.0502	17.9534	0.0974	17.5573	0.0141	17.7461	0.0808	11.3	461852860
☄	77.6	461852857	170.220649	-85.321435	153	76	112052.95-851917.1	57497.5424	0	0	2	2	1	0.479																	19.0905	0.0195	19.2674	0.1087					10.9	461852860
☄	78.25	461852871	169.863007	-85.314685	16	63	111927.12-851852.8	57497.5431	0	0	4	2	1	0.914																	18.1325	0.0528	18.1023	0.068	17.9959	0.0194	17.7584	0.1105	10.2	461852870
☄	78.56	461853132	169.838933	-85.350802	36	36	111921.34-852102.8	57497.5438	0	0	1	1	1	0.446																	19.2339	0.0279	19.2324	0.1726					15.0	
☄	79.65	461852878	170.180613	-85.349896	36	20	112043.34-852059.6	56959.4483	4	97	10	0	1	1.0	10.1495	0.0062	10.1525	0.0053	9.5676	0.0113	9.561	0.0123	8.8858	0.0105	8.8402	0.0105					8.9719	0.011	8.9249	0.0105	9.0256	0.0105	8.9971	0.0105	15.0	
☄	79.85	461852883	169.727998	-85.331881	251	143	111854.71-851954.7	57484.3384	3	0	14	3	1	0.982									16.3817	0.0475	15.7084	0.0749	15.8987	0.0103	15.5643	0.2252	15.6695	0.0169	15.6422	0.0198	15.5534	0.0165	15.5726	0.0159	4.1	461852884
☄	80.9	461852872	169.810508	-85.317009	40	65	111914.52-851901.2	57401.0887	0	0	13	2	1	0.978													17.5472	0.0383	18.0303	0.6024	17.2817	0.031	17.2796	0.0273	17.2641	0.0269	17.3637	0.0742	15.0	
☄	82.69	461852870	169.883623	-85.312417	36	36	111932.06-851844.7	57497.541	0	0	1	1	1	0.488																	19.1742	0.0321	19.4401	0.1802					10.2	461852871
☄	83.28	461852884	169.7159	-85.332453	167	174	111851.81-851956.8	57855.6395	3	0	9	2	2	0.871													16.1224	0.0181	15.8729	0.0419									4.1	461852883
☄	89.16	461852859	170.194412	-85.314303	35	30	112046.65-851851.4	57497.5431	0	0	4	2	1	0.918																	17.7986	0.0108	17.8545	0.0799	17.6138	0.0115	17.6345	0.0717	11.6	461852855
☄	89.63	461853126	169.971319	-85.358121	36	36	111953.11-852129.2	57497.541	0	0	1	1	1	0.524																	18.9996	0.0197	19.048	0.2118					14.5	461853125
☄	92.54	461852882	169.709721	-85.323241	48	63	111850.33-851923.6	57329.0374	0	0	12	3	1	0.981													16.6949	0.0419	16.7814	0.0696	16.4611	0.0097	16.5053	0.02	16.4101	0.0281	16.4598	0.0321	15.0	
☄	92.9	461853134	169.757318	-85.349989	73	58	111901.75-852059.9	57497.5417	0	0	2	1	1	0.599																	18.8627	0.0544	18.411	0.1513	18.4644	0.0235	18.4572	0.195	7.4	461853135
☄	92.98	461852856	170.274477	-85.320411	55	61	112105.87-851913.4	57353.5574	0	0	14	3	1	0.977													17.4379	0.025	17.7224	0.1093	17.187	0.0221	17.2338	0.0268	17.1388	0.0219	17.1635	0.1027	12.0	461852853
☄	94.12	461853125	170.018353	-85.359435	32	45	112004.40-852133.9	57307.5393	0	0	21	3	1	0.982									16.3421	0.0087	16.3723	0.0806	15.9702	0.0133	15.9103	0.0571	15.7456	0.0069	15.7726	0.0093	15.6597	0.0078	15.7168	0.018	14.5	461853126
☄	95.99	461852887	169.685869	-85.341001	36	36	111844.60-852027.6	57497.541	0	0	1	1	1	0.725																	18.9063	0.0181	18.8633	0.1512					15.0	
☄	96.58	461853133	169.808944	-85.355226	18	30	111914.14-852118.8	57249.6805	0	3	19	4	1	0.983									16.3005	0.0163	16.4075	0.0496	15.8642	0.0181	15.8934	0.0365	15.6423	0.0088	15.6706	0.0091	15.5779	0.0057	15.5964	0.0247	15.0	
