	r_cntr	object_id	raj2000	dej2000	e_raj2000	e_dej2000	smss_j	mean_epoch	flags	nimaflags	ngood	ngood_min	nch_max	class_star	u_psf	e_u_psf	u_petro	e_u_petro	v_psf	e_v_psf	v_petro	e_v_petro	g_psf	e_g_psf	g_petro	e_g_petro	r_psf	e_r_psf	r_petro	e_r_petro	i_psf	e_i_psf	i_petro	e_i_petro	z_psf	e_z_psf	z_petro	e_z_petro	prox	prox_id
☄	35.24	90037003	145.207423	-3.375822	21	17	094049.78-032232.9	56995.0149	0	8	29	3	1	0.984	16.5683	0.0319	16.5823	0.037	16.2042	0.0092	16.216	0.0164	15.0541	0.0145	15.0488	0.0217	14.7603	0.0087	14.7865	0.0169	14.6026	0.0047	14.6146	0.0117	14.5716	0.004	14.593	0.011	15.0	
☄	52.47	90037005	145.188964	-3.366704	54	54	094045.35-032200.1	56996.6504	0	0	25	1	1	0.988	18.654	0.0202	18.5667	0.0949	18.4351	0.0243	18.6323	0.1007	15.7919	0.0112	15.7947	0.0254	14.8978	0.0059	14.9317	0.0164	14.0688	0.0041	14.0914	0.0083	13.7645	0.004	13.7957	0.0111	15.0	
☄	55.06	90037006	145.211528	-3.353758	46	80	094050.76-032113.5	57021.3927	0	0	6	3	1	0.269																	18.5691	0.06	17.6758	0.0444	18.4271	0.0707	17.3605	0.1354	15.0	
☄	58.47	90037002	145.206445	-3.382808	36	36	094049.54-032258.1	57020.7277	0	2	1	1	1	0.5																	19.6654	0.0224	19.5554	0.1333					14.9	90037001
☄	63.73	90037007	145.220675	-3.36217	414	114	094052.96-032143.8	57021.2266	0	0	2	2	1	0.523																	19.4778	0.0489	19.2375	0.104					15.0	
☄	68.85	90037024	145.204314	-3.347712	34	34	094049.03-032051.7	57021.3927	0	0	6	3	1	0.903																	18.7184	0.0091	18.7754	0.054	18.2209	0.0182	18.2572	0.0614	15.0	
☄	69.31	90037001	145.203903	-3.386072	37	44	094048.93-032309.8	56918.6798	0	0	18	3	1	0.982									17.6732	0.0207	17.8204	0.0688	17.2759	0.0127	17.2846	0.129	17.0481	0.0067	17.0692	0.0129	16.9359	0.0142	16.956	0.0351	14.9	90037002
☄	82.87	90037023	145.196529	-3.344901	89	35	094047.16-032041.6	57021.3258	0	0	5	2	1	0.547																	19.2879	0.0193	19.083	0.197	18.8405	0.054	18.736	0.115	15.0	
☄	90.38	90037004	145.226114	-3.37794	76	69	094054.26-032240.5	56885.2289	0	0	8	4	1	0.935																	18.1715	0.008	18.1807	0.0389	17.9878	0.0139	18.077	0.0716	15.0	
☄	93.57	90036713	145.178308	-3.373143	45	59	094042.79-032223.3	57605.3838	0	0	4	1	1	0.641									20.2222	0.0715	19.8211	0.1089	19.9793	0.0966	19.4195	0.1184	19.652	0.0834	19.0506	0.0956					10.2	90036714
