	r_cntr	object_id	raj2000	dej2000	e_raj2000	e_dej2000	smss_j	mean_epoch	flags	nimaflags	ngood	ngood_min	nch_max	class_star	u_psf	e_u_psf	u_petro	e_u_petro	v_psf	e_v_psf	v_petro	e_v_petro	g_psf	e_g_psf	g_petro	e_g_petro	r_psf	e_r_psf	r_petro	e_r_petro	i_psf	e_i_psf	i_petro	e_i_petro	z_psf	e_z_psf	z_petro	e_z_petro	prox	prox_id
☄	22.62	486114594	321.999329	-66.793722	26	70	212759.83-664737.3	56984.7179	4	3057	7	0	1	0.998	10.1299	0.022	10.1228	0.0086	9.6788	0.0053	9.6723	0.0073																	15.0	
☄	57.81	486114592	321.963329	-66.79299	78	34	212751.19-664734.7	56865.1168	0	0	4	2	1	0.967																	17.1403	0.0143	17.1798	0.0653	17.0943	0.0888	17.0919	0.0683	15.0	
☄	64.66	486114662	322.027286	-66.785612	56	108	212806.54-664708.2	56878.5582	0	0	2	1	1	0.535																	18.2469	0.0441	18.2127	0.1749	17.9348	0.0216	18.3334	0.2197	15.0	
☄	71.01	486114630	322.043223	-66.809965	62	46	212810.37-664835.8	56869.5973	0	0	3	1	1	0.9																	17.7797	0.0285	17.8251	0.1392	17.3971	0.0302	17.2249	0.2854	15.0	
☄	77.28	486114663	322.024889	-66.780906	35	31	212805.97-664651.2	56980.7333	0	0	7	3	1	0.979																	16.1568	0.0074	16.2295	0.0326	15.9617	0.012	16.0504	0.0363	15.0	
☄	86.72	486114590	321.977656	-66.822426	39	21	212754.63-664920.7	56999.8321	0	0	12	1	1	0.983	17.2735	0.0401	17.0738	0.1257	16.868	0.0132	16.9262	0.1927	15.7256	0.0249	15.7066	0.0468					15.3709	0.0064	15.3943	0.0254	15.3745	0.0109	15.4397	0.0418	15.0	
☄	88.34	486114591	321.937887	-66.798155	25	60	212745.09-664753.3	56878.5582	0	0	2	1	1	0.895																	17.5709	0.0196	17.8077	0.131	17.7127	0.0215	17.7467	0.17	15.0	
☄	94.22	486114593	321.953959	-66.78114	46	62	212748.95-664652.1	56944.6021	0	0	5	2	1	0.974																	16.6978	0.0125	16.6927	0.1104	16.6905	0.0194	16.8394	0.0527	15.0	
☄	98.29	486114622	321.986517	-66.826781	58	48	212756.76-664936.4	56878.558	0	0	3	1	1	0.514													18.3419	0.0365	18.6086	0.2013	18.2748	0.026	18.361	0.1965	18.1709	0.0225	18.4157	0.1851	15.0	
☄	104.41	486114628	322.045608	-66.822773	165	36	212810.94-664921.9	56869.5973	0	0	3	1	1	0.879																	18.2117	0.0336	18.5323	0.2264	17.6293	0.0766	17.7972	0.1067	14.8	486114629
☄	105.46	486114686	322.070098	-66.809793	33	61	212816.82-664835.2	56869.5973	0	0	3	1	1	0.893																	17.6801	0.0432	18.0163	0.1368	17.212	0.1017	17.3172	0.106	15.0	
☄	114.09	486114589	321.930408	-66.815914	25	24	212743.29-664857.2	57010.8572	0	0	11	2	1	0.98									16.4598	0.0091	16.5579	0.0418	16.2414	0.0392	16.268	0.0358	16.0623	0.0089	16.1699	0.0395	16.0277	0.0092	16.1101	0.034	15.0	
☄	119.0	486114689	322.082521	-66.806009	36	36	212819.80-664821.6	56878.5584	0	0	1	1	1	0.5																					18.2611	0.0373	18.6208	0.2823	15.0	
☄	119.17	486114629	322.051395	-66.826197	61	30	212812.33-664934.3	57019.1921	0	0	8	2	1	0.97									17.5795	0.0635	17.5966	0.1387	17.3057	0.0256	17.5649	0.2293	17.059	0.0127	17.0183	0.071	17.0321	0.0441	17.1163	0.0669	14.8	486114628
☄	122.11	486114631	322.075809	-66.816098	52	36	212818.19-664857.9	57000.5791	0	0	9	2	1	0.957									17.4692	0.0401	17.4052	0.1883	17.3511	0.0691	17.5075	0.0804	17.0575	0.0105	17.1416	0.079	16.9834	0.0267	16.7838	0.0627	14.6	486114687
