,r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
☄,2.05,500013382,88.749803,-61.349438,28,34,055459.95-612057.9,57594.7555,0,0,6,2,1,0.856,,,,,,,,,,,,,19.4154,0.0119,19.5997,0.082,18.7336,0.0133,18.8928,0.103,18.3928,0.0185,18.3381,0.1017,13.7,500013381
☄,11.71,500013381,88.750107,-61.353251,36,36,055500.02-612111.7,57747.5851,0,4,1,1,1,0.441,,,,,,,,,,,,,20.5962,0.0311,20.8087,0.1549,,,,,,,,,13.7,500013382
☄,26.08,500013385,88.740472,-61.355624,28,31,055457.71-612120.2,57730.3363,0,0,8,1,1,0.952,,,,,,,,,,,,,20.076,0.0141,20.1751,0.105,18.5319,0.0208,18.6343,0.0484,17.8739,0.0187,17.9758,0.0482,15,
☄,27.07,500013379,88.755799,-61.356988,61,35,055501.39-612125.1,57783.9907,0,0,4,1,1,0.556,,,,,,,,,,,,,20.7975,0.0531,21.1934,0.1969,19.6294,0.0173,19.8301,0.1346,19.2255,0.0882,19.6746,0.3699,10.8,500013378
☄,28.63,500013378,88.761509,-61.355727,36,36,055502.76-612120.6,57747.5893,0,0,1,1,1,0.517,,,,,,,,,,,,,,,,,19.9054,0.0732,20.6756,0.4038,,,,,10.8,500013379
☄,32.01,500013380,88.767407,-61.353072,40,32,055504.17-612111.0,57585.1988,1,0,14,1,1,0.608,,,,,,,,,19.4254,0.1014,18.6078,0.081,18.6139,0.0477,17.9593,0.0268,18.3863,0.0641,17.5591,0.0475,18.0534,0.0652,17.3405,0.0559,13.2,500012746
☄,37.51,500012748,88.771195,-61.347695,48,57,055505.08-612051.7,57588.0412,0,0,18,2,1,0.781,,,,,,,,,19.0027,0.0359,18.7032,0.0726,18.3071,0.0239,17.8578,0.0447,17.9429,0.0238,17.3605,0.0465,17.5637,0.034,17.0839,0.0415,15,
☄,38.1,500013376,88.761605,-61.359002,36,36,055502.78-612132.4,57747.5851,0,0,1,1,1,0.491,,,,,,,,,,,,,20.6236,0.0315,20.3577,0.1648,,,,,,,,,11.8,500013378
☄,39.04,500013383,88.744299,-61.360495,11,19,055458.63-612137.7,57291.4373,0,8,30,3,1,0.997,15.7892,0.0072,15.8042,0.0181,15.3892,0.0062,15.3968,0.0061,13.5436,0.0105,13.5414,0.0063,13.0714,0.0069,13.0659,0.0099,12.7685,0.0053,12.7846,0.0053,12.6498,0.0047,12.6726,0.0048,15,
☄,40.5,500013387,88.759,-61.33961,55,217,055502.16-612022.5,57747.5872,0,0,2,1,1,0.38,,,,,,,,,,,,,20.9418,0.0309,21.0463,0.1919,20.0516,0.0576,20.0576,0.1769,,,,,15,
☄,43.47,500013377,88.769489,-61.357651,14,19,055504.67-612127.5,57463.6998,0,9,35,3,1,0.999,15.7807,0.0109,15.7934,0.0078,15.4143,0.0071,15.4126,0.0072,14.5155,0.0126,14.5347,0.0101,14.3049,0.0047,14.3092,0.0087,14.1931,0.0043,14.2232,0.0049,14.2015,0.0048,14.2426,0.0105,14.4,500013376
☄,45.15,500012746,88.774819,-61.353961,32,119,055505.95-612114.2,57458.7327,0,0,5,1,1,0.952,,,,,,,,,19.7873,0.0309,19.6484,0.1372,19.5437,0.01,19.6759,0.1061,19.3747,0.0644,19.4357,0.1142,,,,,13.2,500013380
☄,52.33,500013384,88.732185,-61.361764,54,96,055455.72-612142.3,57771.8565,0,0,3,1,1,0.545,,,,,,,,,,,,,20.4513,0.0416,20.4538,0.2328,19.6529,0.0207,19.6896,0.1442,19.2194,0.0438,19.6087,0.1569,11.6,500013386
☄,53.15,500013391,88.736068,-61.336834,239,25,055456.65-612012.6,57747.5872,1,0,2,1,1,0.509,,,,,,,,,,,,,20.7599,0.0823,19.994,0.1564,19.9812,0.0666,19.2654,0.1597,,,,,13.7,500013390
☄,54.27,500013397,88.718675,-61.351298,14,21,055452.48-612104.6,57372.1835,3,6,33,3,1,0.986,16.5744,0.0099,16.617,0.0361,16.2113,0.0147,16.1972,0.0099,15.0268,0.0132,15.0181,0.0119,14.717,0.0049,14.7182,0.017,14.5691,0.0053,14.594,0.011,14.546,0.0044,14.5817,0.0173,11.6,500013398
☄,55.61,500013386,88.726143,-61.360382,36,36,055454.27-612137.3,57747.5851,0,0,1,1,1,0.543,,,,,,,,,,,,,20.2646,0.0139,20.2357,0.1203,,,,,,,,,11.6,500013384
