,r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
☄,9.62,460715478,151.229349,-79.932205,42,66,100455.04-795555.9,57313.5092,0,0,12,2,1,0.975,,,,,,,,,16.5447,0.0765,16.5214,0.0442,16.1992,0.0142,16.1965,0.042,15.9789,0.0179,15.9243,0.0343,15.9502,0.0161,15.9469,0.0794,10.3,460715473
☄,17.72,460715477,151.246233,-79.927109,36,36,100459.09-795537.5,57467.5013,0,0,1,1,1,0.467,,,,,,,,,,,,,,,,,18.3057,0.0137,18.4427,0.128,,,,,15,
☄,18.47,460715473,151.224366,-79.934925,36,36,100453.84-795605.7,57467.5013,1,0,1,1,1,0.626,,,,,,,,,,,,,,,,,17.7752,0.0118,17.9242,0.1432,,,,,10.3,460715478
☄,30.26,460715479,151.19983,-79.937199,36,36,100447.95-795613.9,57467.5013,0,0,1,1,1,0.475,,,,,,,,,,,,,,,,,18.246,0.0117,18.1408,0.1197,,,,,15,
☄,43.4,460715472,151.257912,-79.940165,36,30,100501.89-795624.5,57336.6022,0,0,11,1,1,0.973,,,,,,,,,17.3888,0.0118,17.3593,0.1206,16.7602,0.0414,16.922,0.0967,16.3863,0.0071,16.3709,0.0278,16.2089,0.0081,16.1466,0.035,15,
☄,48.5,460715471,151.299277,-79.931254,40,31,100511.82-795552.5,57188.428,0,0,15,2,1,0.983,16.3629,0.0289,16.4281,0.2568,16.1147,0.0735,16.1883,0.0936,14.8968,0.0076,14.9209,0.0241,14.5392,0.0069,14.562,0.0124,14.3386,0.0068,14.3251,0.0135,14.2563,0.0063,14.2308,0.0215,12.8,460715470
☄,56.88,460715470,151.309208,-79.934365,88,85,100514.20-795603.7,57274.0639,1,0,9,3,1,0.888,,,,,,,,,,,,,17.3107,0.022,17.6704,0.1203,16.993,0.0275,17.0183,0.0567,16.9069,0.0808,16.8931,0.1997,12.8,460715471
☄,67.86,460715465,151.215525,-79.910993,36,36,100451.72-795439.5,57467.5013,0,0,1,1,1,0.557,,,,,,,,,,,,,,,,,17.8717,0.0107,17.7339,0.0865,,,,,10.9,460715464
☄,68.81,460715469,151.31252,-79.940705,59,55,100515.00-795626.5,57313.5092,0,0,12,2,1,0.974,,,,,,,,,16.1365,0.0281,16.0698,0.1497,16.0432,0.0122,16.0894,0.0837,16.0232,0.009,16.0217,0.0303,16.023,0.0517,15.9232,0.1536,15,
☄,69.11,460715476,151.207007,-79.948802,67,29,100449.68-795655.6,57263.9827,0,0,4,1,1,0.532,,,,,,,,,,,,,17.6685,0.017,17.7801,0.1532,17.5678,0.0169,17.5581,0.077,17.4166,0.1198,17.3963,0.2934,15,
☄,71.59,460715464,151.231786,-79.90998,33,34,100455.62-795435.9,57060.045,3,0,7,1,1,0.897,,,,,,,,,17.3461,0.0326,17.2372,0.1391,16.8812,0.0272,16.6205,0.1995,16.5891,0.0294,16.5143,0.1036,16.4804,0.0245,16.3971,0.2608,4.7,460715463
☄,73.91,460715480,151.119982,-79.93977,40,46,100428.79-795623.1,57313.5092,0,0,12,2,1,0.978,,,,,,,,,17,0.0626,16.9027,0.2508,16.4641,0.0275,16.4601,0.0844,16.0192,0.0155,15.9967,0.0433,15.837,0.0173,15.7453,0.0529,15,
