,r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
☄,9.78,460714070,152.984156,-80.834341,27,31,101156.19-805003.6,57196.2439,0,3,12,1,1,0.971,,,,,,,,,17.8706,0.0202,17.92,0.1764,17.1087,0.0138,17.0582,0.1046,16.6654,0.0081,16.6844,0.0457,16.4174,0.0242,16.4656,0.0435,15,
☄,24.55,460714047,153.042441,-80.834216,25,28,101210.18-805003.1,57223.4976,0,0,10,1,1,0.938,,,,,,,,,17.8912,0.0194,18.0748,0.1637,17.5152,0.0323,17.6231,0.0908,17.1655,0.0084,17.1941,0.0567,16.9403,0.0399,17.0149,0.0539,13.6,460714051
☄,27.27,460714071,152.95688,-80.830142,31,39,101149.65-804948.5,57196.4129,0,1,12,1,1,0.931,,,,,,,,,17.5918,0.0266,17.6499,0.0923,17.5312,0.0704,17.3238,0.1329,17.1852,0.0079,17.3037,0.0493,17.0651,0.0171,17.0774,0.0535,15,
☄,34.57,460714051,153.05432,-80.837501,30,26,101213.03-805015.0,57182.8012,0,0,10,2,1,0.971,,,,,,,,,17.1126,0.0177,17.0423,0.0664,16.8183,0.0121,16.9181,0.0661,16.5876,0.0071,16.6377,0.0233,16.4805,0.0091,16.4792,0.0453,13.6,460714047
☄,42.79,460714046,153.07009,-80.829267,63,57,101216.82-804945.3,57386.306,0,3,5,2,1,0.576,,,,,,,,,,,,,,,,,17.8033,0.0115,17.963,0.0626,17.4412,0.0636,17.5547,0.0677,15,
☄,52.24,460714052,153.042823,-80.846143,40,21,101210.27-805046.1,57151.0505,0,2,18,1,1,0.983,17.2711,0.0168,17.6346,0.0922,16.9734,0.0281,17.0855,0.1428,15.6656,0.0151,15.6738,0.0234,15.2736,0.0178,15.2817,0.0227,15.0614,0.0088,15.0349,0.0228,14.9856,0.0132,14.9998,0.0398,15,
☄,56.34,460714068,152.964333,-80.818752,65,33,101151.43-804907.5,57162.3239,0,3,12,2,1,0.941,,,,,,,,,17.7023,0.0691,17.9141,0.1193,17.272,0.0161,17.473,0.088,17.0137,0.0318,17.017,0.06,16.9114,0.0087,16.9526,0.0656,15,
☄,56.86,460714092,153.004344,-80.849112,25,25,101201.04-805056.8,57223.9106,0,0,5,1,1,0.616,,,,,,,,,18.2764,0.0174,18.3414,0.1609,18.1507,0.0262,18.2123,0.1756,17.9695,0.0217,17.9146,0.0666,,,,,15,
☄,73.9,460714069,152.928659,-80.816245,101,58,101142.87-804858.4,57264.5095,0,0,4,1,1,0.585,,,,,,,,,,,,,,,,,17.8821,0.0259,17.9008,0.1477,17.8636,0.0291,18.0248,0.2508,15,
☄,76.53,460714059,153.05527,-80.813987,120,61,101213.26-804850.3,57196.8449,0,0,6,1,1,0.841,,,,,,,,,18.3886,0.0195,18.5072,0.1616,17.9938,0.0704,17.6526,0.1888,17.7273,0.0241,17.7113,0.0516,17.5465,0.0338,17.4919,0.1498,15,
☄,83.76,460714048,153.117929,-80.847077,35,35,101228.30-805049.4,57196.8456,0,0,3,1,1,0.524,,,,,,,,,,,,,,,,,17.9573,0.0126,18.1249,0.1083,17.5909,0.0539,17.5455,0.2188,15,
