,r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
☄,10.89,461798892,176.522896,-84.552102,28,24,114605.49-843307.5,57358.2951,0,6,21,5,1,0.984,,,,,,,,,15.84,0.0131,15.7899,0.0295,15.5022,0.0155,15.4898,0.0356,15.2482,0.005,15.2799,0.0087,15.1688,0.0048,15.1996,0.0089,15,
☄,15.52,461799038,176.469269,-84.553175,24,34,114552.62-843311.4,57629.9707,3,0,5,2,1,0.922,,,,,,,,,,,,,,,,,18.4275,0.0116,18.4505,0.0973,18.3192,0.0429,18.43,0.1368,6.7,461799037
☄,16.29,461799037,176.456212,-84.551782,80,101,114549.49-843306.4,57545.016,3,7,12,5,1,0.982,,,,,,,,,,,,,,,,,16.9574,0.0142,16.937,0.0684,16.5697,0.0096,16.5165,0.0736,4.5,461799023
☄,16.51,461799023,176.452109,-84.550588,56,80,114548.50-843302.1,57669.8343,3,0,8,1,1,0.981,,,,,,,,,,,,,17.3406,0.0192,17.2472,0.1312,17.2665,0.0089,17.2307,0.0196,17.1797,0.0143,17.2181,0.0759,4.5,461799037
☄,32.04,461799039,176.415414,-84.553835,70,24,114539.69-843313.8,57364.725,0,4,19,1,1,0.983,,,,,,,,,17.2284,0.0189,17.347,0.2044,16.8697,0.019,17.0684,0.0855,16.5836,0.0057,16.6351,0.0153,16.4854,0.0121,16.5596,0.0224,15,
☄,33.38,461798891,176.59042,-84.553501,35,29,114621.70-843312.6,57607.8991,3,0,6,3,1,0.969,,,,,,,,,,,,,,,,,17.8765,0.009,17.9281,0.054,17.5935,0.0124,17.5667,0.0566,7,461798890
☄,33.94,461798871,176.599104,-84.549455,46,73,114623.78-843258.0,57545.2791,0,0,12,6,1,0.98,,,,,,,,,,,,,,,,,17.2041,0.0054,17.2256,0.0233,17.0448,0.0153,17.0441,0.0392,14.9,461798891
☄,39.35,461798870,176.56289,-84.540848,56,35,114615.09-843227.0,57629.9699,0,0,5,2,1,0.772,,,,,,,,,,,,,,,,,18.7732,0.013,18.7148,0.0656,18.4747,0.0156,18.6077,0.1128,15,
☄,39.85,461798894,176.532497,-84.560631,36,36,114607.79-843338.2,57497.5424,0,0,1,1,1,0.604,,,,,,,,,,,,,,,,,,,,,18.4602,0.0352,18.2733,0.1498,7.7,461798893
☄,40.42,461798890,176.60917,-84.554317,30,37,114626.20-843315.5,57337.6839,2,2,18,2,1,0.984,,,,,,,,,17.1839,0.0385,17.3449,0.2116,16.7826,0.0574,16.7113,0.081,16.3455,0.0063,16.365,0.019,16.1594,0.0058,16.2192,0.0188,7,461798891
