	r_cntr	object_id	raj2000	dej2000	e_raj2000	e_dej2000	smss_j	mean_epoch	flags	nimaflags	ngood	ngood_min	nch_max	class_star	u_psf	e_u_psf	u_petro	e_u_petro	v_psf	e_v_psf	v_petro	e_v_petro	g_psf	e_g_psf	g_petro	e_g_petro	r_psf	e_r_psf	r_petro	e_r_petro	i_psf	e_i_psf	i_petro	e_i_petro	z_psf	e_z_psf	z_petro	e_z_petro	prox	prox_id
☄	10.18	404590878	246.490343	-72.999848	26	36	162557.68-725959.4	56992.7054	0	0	3	1	1	0.937																	17.7532	0.0142	17.8687	0.0679	17.3842	0.0117	17.3739	0.0746	11.0	404590876
☄	12.12	404590876	246.49449	-72.997045	25	53	162558.67-725949.3	57002.7118	0	0	3	1	1	0.92																	17.7316	0.062	17.5615	0.0743	17.7351	0.0121	17.7175	0.1059	11.0	404590878
☄	25.04	404590875	246.484806	-72.99465	92	39	162556.35-725940.7	57121.7191	0	0	2	1	1	0.805																	18.1068	0.0163	18.1317	0.1393	17.99	0.0168	18.0196	0.1287	13.4	404590876
☄	30.1	404590877	246.473283	-72.997017	36	64	162553.58-725949.2	56992.7054	0	0	3	1	1	0.928																	17.6716	0.0101	17.8078	0.0605	17.5706	0.0144	17.6281	0.1034	14.8	404590875
☄	31.0	404590930	246.491984	-73.008287	55	59	162558.07-730029.8	57114.3665	0	0	6	3	1	0.922																	17.6204	0.0241	17.8002	0.0645	17.1913	0.0329	17.2872	0.055	15.0	
☄	31.02	404590882	246.522626	-73.005523	25	38	162605.43-730019.8	57210.1197	0	0	13	2	1	0.937									17.5869	0.0121	17.6893	0.0921	17.2113	0.0216	17.1785	0.0886	17.0135	0.0085	16.9572	0.0543	16.958	0.0289	16.9558	0.0578	15.0	
☄	31.74	404590927	246.474002	-73.004468	13	23	162553.76-730016.0	56968.9767	0	0	21	2	1	0.989	15.49	0.0195	15.5138	0.0337	15.1412	0.013	15.1373	0.0341	13.4229	0.0074	13.4318	0.0209	12.9949	0.0111	12.992	0.0107	12.7439	0.0132	12.7502	0.0123	12.653	0.0053	12.6662	0.0121	15.0	
☄	35.43	404590879	246.527117	-72.994169	34	69	162606.50-725939.0	57002.7119	0	0	3	1	1	0.86																	17.8377	0.0118	17.782	0.0759	17.5258	0.1372	17.6904	0.0985	15.0	
☄	35.69	404590881	246.533901	-73.000208	36	36	162608.13-730000.7	57121.7184	1	0	1	1	1	0.659																	18.6121	0.0157	18.4437	0.17					15.0	
☄	51.92	404590926	246.457664	-73.007404	87	30	162549.83-730026.6	57007.4282	0	0	14	3	1	0.915									17.1081	0.0383	17.1416	0.0626	16.7627	0.0313	16.6491	0.0751	16.6159	0.025	16.4391	0.0598	16.5716	0.0193	16.4622	0.0648	13.6	404590928
☄	55.9	404590883	246.552715	-72.998106	27	23	162612.65-725953.1	57462.6858	31	265	10	0	1	1.0	12.542	0.0127	12.5096	0.0182	12.1053	0.0129	12.1018	0.0124	10.2443	0.0154	10.2016	0.0081	9.7216	0.0105	9.7042	0.0105	9.3734	0.0107	9.355	0.0105					15.0	
☄	56.28	404590791	246.473096	-72.98649	43	72	162553.54-725911.3	56935.7033	0	0	4	1	1	0.949													17.9197	0.0271	17.917	0.1508	17.6792	0.0136	17.8348	0.0594	17.4831	0.0141	17.6301	0.0992	15.0	
☄	59.11	404590933	246.51137	-73.016079	36	36	162602.72-730057.8	57121.7184	0	0	1	1	1	0.362																	18.9993	0.015	19.2351	0.1165					15.0	
☄	59.64	404590885	246.553222	-73.005692	24	32	162612.77-730020.4	57223.4665	2	0	27	3	1	0.988	16.3156	0.0417	16.3396	0.0552	15.9577	0.016	15.9358	0.087	13.093	0.0067	13.0904	0.0065	12.3484	0.0048	12.3417	0.0056	11.7933	0.0061	11.7955	0.014	11.5221	0.0049	11.5042	0.0116	11.6	404590912
☄	60.3	404590928	246.457308	-73.011174	14	45	162549.75-730040.2	57006.1957	0	0	16	1	1	0.984					17.1733	0.0285	17.1342	0.154	14.7072	0.01	14.697	0.0182	13.9973	0.0055	13.9954	0.0077	13.4583	0.0061	13.4734	0.0114	13.2083	0.0055	13.2254	0.0104	13.6	404590926
☄	61.28	404590795	246.448297	-72.992178	30	29	162547.59-725931.8	56824.0937	2	0	10	2	1	0.978									16.4364	0.042	16.4403	0.0451	15.9698	0.0166	15.9792	0.0473	15.7141	0.007	15.7464	0.017	15.6069	0.0073	15.6482	0.05	7.1	404590794
☄	64.33	404590929	246.467734	-73.01518	36	36	162552.25-730054.6	57121.7184	0	0	1	1	1	0.505																	18.8814	0.0356	19.3435	0.1838					10.2	404590931
☄	65.18	404590835	246.438086	-73.000314	127	194	162545.14-730001.1	57121.7191	0	0	2	1	1	0.56																	18.2014	0.0594	18.2042	0.1155	17.9229	0.0612	17.5034	0.1016	15.0	
☄	65.29	404590794	246.447781	-72.99022	25	91	162547.46-725924.7	56935.7033	3	0	4	1	1	0.887													17.9281	0.0191	17.9995	0.1953	17.5674	0.0109	17.6695	0.0731	17.5166	0.0175	17.5549	0.1054	7.1	404590795
☄	65.86	404590934	246.534393	-73.015286	34	31	162608.25-730055.0	57241.5178	0	0	17	4	1	0.978									17.0492	0.0235	17.1276	0.0789	16.6671	0.017	16.7572	0.0371	16.3697	0.0123	16.3781	0.0262	16.2531	0.0073	16.2359	0.0483	8.0	404590935
☄	66.2	404590912	246.555121	-73.008864	42	44	162613.22-730031.9	56754.6908	1	0	3	1	1	0.964																	16.6116	0.0112	16.6246	0.0696	15.9318	0.0135	16.0807	0.0741	11.6	404590885
☄	66.65	404590872	246.508254	-72.981643	16	24	162601.98-725853.9	57472.4756	3	0	9	2	1	0.975									16.3712	0.0087	16.3106	0.0697	16.0494	0.0151	15.9676	0.0776	15.8028	0.0069	15.782	0.0216	15.7346	0.0091	15.6529	0.0647	6.9	404590871
☄	66.66	404590873	246.531988	-72.984021	95	30	162607.67-725902.4	56943.2083	1	0	2	1	1	0.834													17.9197	0.0332	18.1856	0.1369					17.6309	0.0172	17.3585	0.133	9.0	404590874
☄	66.69	404590880	246.556585	-72.99167	25	53	162613.58-725930.0	57121.7191	0	0	2	1	1	0.731																	18.1475	0.0157	17.9356	0.1079	17.9133	0.0282	17.1957	0.1103	15.0	
☄	67.51	404590884	246.564038	-73.001049	77	51	162615.36-730003.7	56764.697	0	0	4	1	1	0.559									17.9906	0.047	18.3221	0.1546	17.6701	0.0311	17.4922	0.1505	17.5084	0.019	17.6776	0.3695	17.2128	0.0238	17.3781	0.212	13.6	404590907
☄	70.82	404590931	246.458035	-73.015381	56	66	162549.92-730055.3	57121.7191	0	0	2	1	1	0.615																	18.3223	0.013	18.521	0.1424	18.1477	0.0261	18.5339	0.2373	10.2	404590929
