,r_cntr,object_id,raj2000,dej2000,e_raj2000,e_dej2000,smss_j,mean_epoch,flags,nimaflags,ngood,ngood_min,nch_max,class_star,u_psf,e_u_psf,u_petro,e_u_petro,v_psf,e_v_psf,v_petro,e_v_petro,g_psf,e_g_psf,g_petro,e_g_petro,r_psf,e_r_psf,r_petro,e_r_petro,i_psf,e_i_psf,i_petro,e_i_petro,z_psf,e_z_psf,z_petro,e_z_petro,prox,prox_id
☄,5.9,483460711,286.997537,-64.498749,30,47,190759.40-642955.4,56997.9513,0,0,10,1,1,0.983,,,,,,,,,,,,,17.7635,0.0487,17.3646,0.1217,16.2786,0.0131,16.3347,0.0126,15.6811,0.0061,15.7517,0.0136,13.1,483460710
☄,14.09,483460713,287.008461,-64.498571,20,18,190802.03-642954.8,56973.9308,0,0,25,4,1,0.984,16.23,0.041,16.1617,0.0702,15.9042,0.0295,15.9766,0.0545,14.8638,0.0076,14.8617,0.0171,14.6034,0.0055,14.6192,0.009,14.4646,0.0069,14.4872,0.0153,14.4417,0.0051,14.4749,0.0099,9,483460712
☄,14.93,483460712,287.009324,-64.501044,36,36,190802.23-643003.7,57180.748,0,0,1,1,1,0.521,,,,,,,,,,,,,,,,,20.0908,0.0289,19.9753,0.2119,,,,,9,483460713
☄,18.98,483460710,286.992131,-64.495962,154,42,190758.11-642945.4,57180.7487,0,0,2,1,1,0.928,,,,,,,,,,,,,,,,,19.4292,0.0217,19.604,0.1397,19.3996,0.0477,19.8899,0.349,13.1,483460711
☄,19.22,483460707,286.987623,-64.499646,25,28,190757.02-642958.7,57180.7487,0,0,2,1,1,0.935,,,,,,,,,,,,,,,,,19.1744,0.0124,19.2293,0.0967,19.0899,0.0462,19.4842,0.232,15,483460710
☄,21,483460748,287.005288,-64.50537,25,122,190801.26-643019.3,57180.7487,0,0,2,1,1,0.859,,,,,,,,,,,,,,,,,19.3712,0.0231,19.472,0.1138,19.1226,0.0189,19.2688,0.1296,6.6,483460749
☄,24.15,483460744,286.99186,-64.505719,25,25,190758.04-643020.5,57180.7487,0,0,2,1,1,0.978,,,,,,,,,,,,,,,,,18.5452,0.0196,18.7448,0.0643,18.3189,0.0291,18.5659,0.0985,7.3,483460706
☄,25.31,483460706,286.9878,-64.504676,25,29,190757.07-643016.8,56959.827,0,0,14,3,1,0.983,,,,,,,,,17.2918,0.028,17.2664,0.0681,17.0065,0.0264,17.1701,0.0882,16.8644,0.0079,16.9044,0.0165,16.8427,0.012,16.868,0.043,7.3,483460744
☄,26.61,483460749,287.004303,-64.507157,43,25,190801.03-643025.7,57180.7487,0,0,2,1,1,0.965,,,,,,,,,,,,,,,,,18.7622,0.0141,18.8817,0.0787,18.631,0.0212,18.6033,0.132,6.6,483460748
☄,42.82,483460709,287.013977,-64.489742,78,75,190803.35-642923.0,57180.7598,0,0,4,2,1,0.866,,,,,,,,,,,,,,,,,19.3093,0.0575,19.4694,0.0889,18.9905,0.0465,19.0984,0.1068,15,
☄,44.79,483460702,286.973503,-64.495035,36,28,190753.64-642942.1,56948.4545,0,0,12,2,1,0.982,,,,,,,,,17.8369,0.038,17.8815,0.1152,17.4844,0.0134,17.3789,0.1975,17.3176,0.0401,17.4479,0.0413,17.2997,0.0247,17.3638,0.0669,10.8,483460704
☄,47.24,483460743,286.983017,-64.510898,17,26,190755.92-643039.2,56965.887,0,0,21,2,1,0.995,15.8236,0.0155,15.8094,0.025,15.3487,0.014,15.3262,0.026,12.6826,0.0053,12.6858,0.0053,12.0121,0.0053,12.0174,0.0053,11.6111,0.0074,11.6326,0.0074,11.4239,0.0061,11.4456,0.0061,15,
☄,48.63,483460704,286.974584,-64.492079,42,41,190753.90-642931.4,57180.7487,0,0,2,1,1,0.937,,,,,,,,,,,,,,,,,19.2007,0.0296,19.3819,0.0989,18.9036,0.0345,19.1506,0.1578,7.6,483460703
☄,49.49,483460705,286.968824,-64.502976,26,88,190752.51-643010.7,56975.8822,0,0,12,1,1,0.982,,,,,,,,,17.8265,0.0331,17.5569,0.1415,17.4854,0.0446,17.4997,0.1262,17.1551,0.0143,17.2398,0.0236,17.0519,0.0119,17.0997,0.0424,15,
☄,49.51,483460745,286.997628,-64.513714,47,101,190759.43-643049.3,57180.7487,0,0,2,1,1,0.967,,,,,,,,,,,,,,,,,18.6288,0.0179,18.6007,0.067,18.6973,0.0206,18.8104,0.1215,15,
☄,49.64,483460750,287.009778,-64.513131,22,27,190802.34-643047.2,56983.8932,0,0,17,4,1,0.987,,,,,,,,,17.2751,0.0453,17.445,0.0964,16.3505,0.0164,16.3875,0.0321,15.5551,0.0216,15.6072,0.0214,15.2374,0.0079,15.2805,0.0099,15,
☄,54.43,483460703,286.973636,-64.490013,36,36,190753.67-642924.0,57180.748,0,0,1,1,1,0.643,,,,,,,,,,,,,,,,,19.9245,0.0321,19.7673,0.2315,,,,,7.4,483460701
☄,56.8,483460751,287.026547,-64.510881,36,36,190806.37-643039.1,57180.748,0,0,1,1,1,0.615,,,,,,,,,,,,,,,,,19.9116,0.0198,19.9568,0.164,,,,,10.3,483460754
☄,58.33,483460701,286.969169,-64.490712,36,36,190752.60-642926.5,57180.748,3,0,1,1,1,0.982,,,,,,,,,,,,,,,,,17.7717,0.0189,17.7556,0.0302,,,,,3.2,483460700
☄,61.05,483460781,287.013911,-64.484136,17,25,190803.33-642902.8,57180.7598,3,0,4,2,1,0.553,,,,,,,,,,,,,,,,,19.2182,0.1081,18.298,0.2059,19.0101,0.0833,18.3853,0.2128,4.5,483460782
☄,61.08,483460700,286.968333,-64.489903,69,82,190752.39-642923.6,56983.8932,3,0,17,4,1,0.983,,,,,,,,,17.1314,0.0109,17.0224,0.0656,16.934,0.017,16.7116,0.1054,16.7201,0.015,16.7392,0.0246,16.672,0.0248,16.4257,0.0597,3.2,483460701
☄,61.41,483460699,286.963782,-64.493089,19,21,190751.30-642935.1,56992.1633,0,0,16,3,1,0.983,,,,,,,,,16.1312,0.0108,16.1533,0.0413,15.7784,0.01,15.8079,0.0204,15.582,0.0064,15.6286,0.0106,15.5156,0.0088,15.5806,0.0116,12,483460701
☄,61.79,483460721,286.97013,-64.511373,25,40,190752.83-643040.9,57180.7487,0,0,2,1,1,0.942,,,,,,,,,,,,,,,,,19.237,0.0141,19.2887,0.104,18.4453,0.0184,18.402,0.0992,5.1,483460722
☄,61.93,483460708,286.985138,-64.484031,121,181,190756.43-642902.5,57180.7487,0,0,2,1,1,0.914,,,,,,,,,,,,,,,,,18.513,0.0655,18.2959,0.0522,18.1987,0.0256,18.2572,0.1189,15,
☄,63.85,483460722,286.971268,-64.512715,74,103,190753.10-643045.7,57180.7487,0,0,2,1,1,0.676,,,,,,,,,,,,,,,,,19.53,0.0383,19.5007,0.1021,19.2223,0.0503,19.5365,0.2448,5.1,483460721
☄,64.31,483460784,287.040762,-64.496659,64,76,190809.78-642947.9,57180.7598,0,0,4,2,1,0.583,,,,,,,,,,,,,,,,,19.934,0.0147,19.9871,0.1319,19.3531,0.0787,19.7064,0.1641,13.6,483460820
☄,65.5,483460782,287.015133,-64.483013,34,40,190803.63-642858.8,57180.7598,3,0,4,2,1,0.981,,,,,,,,,,,,,,,,,18.1991,0.0128,18.1155,0.0679,18.1057,0.0153,18.028,0.0495,4.5,483460781
☄,66.8,483460754,287.029912,-64.513364,39,26,190807.17-643048.1,57180.7598,0,0,4,2,1,0.976,,,,,,,,,,,,,,,,,18.3795,0.0626,18.4566,0.1025,18.179,0.0795,18.3751,0.1681,10.3,483460751
☄,69.47,483460746,286.995248,-64.519189,36,36,190758.85-643109.0,57180.748,0,0,1,1,1,0.63,,,,,,,,,,,,,,,,,19.8218,0.0155,19.9749,0.1459,,,,,15,
☄,70.76,483460785,287.042607,-64.492941,52,25,190810.22-642934.5,57180.7598,0,0,4,2,1,0.917,,,,,,,,,,,,,,,,,19.3207,0.0238,19.3698,0.0866,18.9981,0.0386,19.1038,0.2324,13.7,483460784
☄,71.33,483460820,287.046018,-64.499685,16,51,190811.04-642958.8,57006.8554,0,0,14,1,1,0.985,,,,,,,,,17.6937,0.041,17.779,0.1131,17.2698,0.0218,17.3226,0.0722,16.9579,0.0068,17.008,0.0124,16.836,0.0083,16.9391,0.019,13.6,483460784
☄,76.31,483460753,287.027276,-64.517651,31,35,190806.54-643103.5,57075.0055,0,0,6,2,1,0.98,,,,,,,,,,,,,,,,,17.9284,0.0083,18.0081,0.0311,17.4043,0.0156,17.5904,0.076,15,
☄,80.29,483460698,286.989424,-64.478168,23,105,190757.46-642841.4,56988.0126,0,0,5,1,1,0.925,,,,,,,,,,,,,18.0898,0.021,18.1259,0.1749,17.7554,0.0362,17.6351,0.0303,17.5433,0.0909,17.5322,0.0579,15,
☄,80.45,483460685,286.952754,-64.509264,30,35,190748.66-643033.3,57016.9658,0,0,13,4,1,0.983,,,,,,,,,,,,,17.4376,0.0512,17.3039,0.1071,16.79,0.0064,16.8545,0.0113,16.5278,0.0061,16.5925,0.0163,15,
☄,81,483460684,286.948716,-64.504351,20,31,190747.69-643015.6,57022.1281,0,0,8,2,1,0.985,,,,,,,,,,,,,17.6464,0.017,17.6714,0.1153,17.4612,0.0285,17.4982,0.017,17.3541,0.0131,17.4291,0.0287,15,
☄,82.34,483460723,286.969436,-64.518713,49,31,190752.66-643107.3,56987.4424,0,0,8,1,1,0.983,,,,,,,,,,,,,17.8171,0.0147,17.9703,0.1947,17.1668,0.0827,17.203,0.0219,16.7657,0.015,16.8064,0.0238,10.3,483460729
☄,82.51,483460747,287.001635,-64.522909,18,20,190800.39-643122.4,56959.6089,0,0,22,3,1,0.985,16.8906,0.0107,16.9648,0.0815,16.6385,0.0513,16.5835,0.163,15.0774,0.0094,15.0782,0.0119,14.6802,0.0053,14.6936,0.0204,14.437,0.0062,14.4637,0.0092,14.334,0.0063,14.3658,0.0272,15,
☄,84.64,483460694,286.975726,-64.478941,12,20,190754.17-642844.1,56973.9308,0,0,25,4,1,0.996,16.3292,0.0337,16.4102,0.0834,15.9992,0.0182,15.9969,0.0349,14.338,0.0097,14.276,0.0158,13.9067,0.0111,13.8513,0.0066,13.613,0.0126,13.5647,0.0071,13.5056,0.0113,13.4611,0.0075,13.6,483460693
☄,86.58,483460720,286.957997,-64.515862,19,37,190749.91-643057.1,57001.3335,0,0,12,2,1,0.982,,,,,,,,,17.5247,0.0264,17.3971,0.0822,17.408,0.0099,17.4595,0.0876,17.2066,0.0069,17.2863,0.0143,17.1602,0.0092,17.1852,0.0241,15,
☄,86.98,483460769,287.005704,-64.475965,38,50,190801.36-642833.4,56998.3594,0,0,10,2,1,0.983,,,,,,,,,,,,,17.63,0.0146,17.5244,0.1108,17.0358,0.0179,17.103,0.0339,16.7967,0.0172,16.8462,0.0246,15,
☄,88.77,483460787,287.043009,-64.483723,124,204,190810.32-642901.4,57180.7591,0,0,2,2,1,0.572,,,,,,,,,,,,,,,,,19.8201,0.0263,19.9168,0.1549,,,,,8.8,483460786
☄,88.96,483460682,286.950787,-64.487291,36,36,190748.18-642914.2,57180.748,0,0,1,1,1,0.383,,,,,,,,,,,,,,,,,20.293,0.038,20.5574,0.2803,,,,,10.3,483460680
☄,89.18,483460821,287.056495,-64.504712,47,33,190813.55-643016.9,57180.7598,0,0,4,2,1,0.915,,,,,,,,,,,,,,,,,19.1901,0.0503,19.2054,0.0958,18.7566,0.0808,18.8691,0.1689,11.8,483460824
☄,90.92,483460729,286.969447,-64.521563,21,26,190752.66-643117.6,56999.9461,0,0,15,3,1,0.984,,,,,,,,,16.6907,0.0193,16.7903,0.0514,16.3933,0.0093,16.3568,0.0813,16.1205,0.0065,16.1717,0.0124,16.0532,0.0068,16.112,0.0159,10.3,483460723
☄,91.87,483460693,286.966958,-64.478817,36,36,190752.06-642843.7,57180.748,0,0,1,1,1,0.681,,,,,,,,,,,,,,,,,19.7711,0.04,19.7529,0.1784,,,,,13.6,483460694
☄,92.32,483460752,287.017545,-64.524509,16,32,190804.21-643128.2,57180.7598,0,0,4,2,1,0.978,,,,,,,,,,,,,,,,,18.315,0.0106,18.3843,0.0338,18.1919,0.0188,18.2133,0.0838,4.7,483460760
☄,92.64,483460691,286.955331,-64.482907,41,55,190749.27-642858.4,57042.3303,0,0,11,5,1,0.983,,,,,,,,,,,,,,,,,17.1129,0.0103,17.1664,0.0173,16.5667,0.0078,16.6112,0.0202,15,
☄,93.69,483460783,287.031061,-64.477678,16,103,190807.45-642839.6,57180.7598,0,0,4,2,1,0.877,,,,,,,,,,,,,,,,,19.4774,0.0188,19.7209,0.0991,18.8571,0.0285,18.7596,0.1107,15,
☄,93.77,483460680,286.945282,-64.488896,44,35,190746.86-642920.0,57180.7598,0,0,4,2,1,0.135,,,,,,,,,,,,,,,,,18.8954,0.1208,18.2459,0.0521,18.7891,0.1209,18.307,0.0968,10.3,483460682
☄,94.99,483460681,286.941694,-64.491881,28,64,190746.00-642930.7,57180.7591,0,0,2,2,1,0.583,,,,,,,,,,,,,,,,,19.9517,0.0568,20.0567,0.1491,,,,,10.6,483460678
☄,95.03,483460786,287.04318,-64.481266,40,175,190810.36-642852.5,57180.7591,0,0,2,2,1,0.504,,,,,,,,,,,,,,,,,19.9242,0.036,20.2683,0.1837,,,,,8.8,483460787
☄,95.16,483460683,286.938739,-64.501785,52,83,190745.29-643006.4,57180.7591,0,0,2,2,1,0.783,,,,,,,,,,,,,,,,,19.4576,0.056,19.6764,0.1937,,,,,11.9,483460679
☄,95.82,483460824,287.0616,-64.502284,36,36,190814.78-643008.2,57180.748,0,0,1,1,1,0.547,,,,,,,,,,,,,,,,,20.122,0.0421,20.4129,0.1744,,,,,11.8,483460821
☄,96.98,483460760,287.018872,-64.525687,51,94,190804.52-643132.4,57180.7591,0,0,2,2,1,0.63,,,,,,,,,,,,,,,,,19.7367,0.0877,19.7085,0.1405,,,,,4.7,483460752
